ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category1Description,category2Description,category3Description,options
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.ArgumentArrayToVarargs,Unpack Logger method `new Object[] {...}` into varargs,"For Logger methods that support varargs, convert any final explicit `Object[]` arguments into their unpacked values.",1,,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.CatchBlockLogLevel,Catch block log level,"Sometimes exceptions are caught and logged at the wrong log level. This will set the log level of logging statements within a catch block not containing an exception to ""warn"", and the log level of logging statements containing an exception to ""error"". This supports SLF4J, Log4J1, Log4j2, and Logback.",1,,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.ChangeLoggersToPrivate,Change logger fields to `private`,Ensures that logger fields are declared as `private` to encapsulate logging mechanics within the class.,1,,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.ChangeLombokLogAnnotation,Replace any Lombok log annotations with target logging framework annotation,"Replace Lombok annotations such as `@CommonsLog` and `@Log4j` with the target logging framework annotation, or `@Sl4fj` if not provided.",17,,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,"[{""name"":""loggingFramework"",""type"":""String"",""displayName"":""Logging framework"",""description"":""The logging framework to use."",""valid"":[""SLF4J"",""Log4J1"",""Log4J2"",""JUL"",""COMMONS""]}]"
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.ParameterizedLogging,Parameterize logging statements,"Transform logging statements using concatenation for messages and variables into a parameterized format. For example, `logger.info(""hi "" + userName)` becomes `logger.info(""hi {}"", userName)`. This can significantly boost performance for messages that otherwise would be assembled with String concatenation. Particularly impactful when the log level is not enabled, as no work is done to assemble the message.",1,,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,"[{""name"":""methodPattern"",""type"":""String"",""displayName"":""Method pattern"",""description"":""A method used to find matching statements to parameterize."",""example"":""org.slf4j.Logger info(..)"",""required"":true},{""name"":""removeToString"",""type"":""Boolean"",""displayName"":""Remove `Object#toString()` invocations from logging parameters"",""description"":""Optionally remove `toString(`) method invocations from Object parameters.""}]"
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.PrintStackTraceToLogError,Use logger instead of `printStackTrace()`,"When a logger is present, log exceptions rather than calling `printStackTrace()`.",1,,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,"[{""name"":""addLogger"",""type"":""Boolean"",""displayName"":""Add logger"",""description"":""Add a logger field to the class if it isn't already present.""},{""name"":""loggerName"",""type"":""String"",""displayName"":""Logger name"",""description"":""The name of the logger to use when generating a field."",""example"":""log""},{""name"":""loggingFramework"",""type"":""String"",""displayName"":""Logging framework"",""description"":""The logging framework to use."",""valid"":[""SLF4J"",""Log4J1"",""Log4J2"",""JUL"",""COMMONS""]}]"
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.SystemErrToLogging,Use logger instead of `System.err` print statements,Replace `System.err` print statements with a logger.,1,,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,"[{""name"":""addLogger"",""type"":""Boolean"",""displayName"":""Add logger"",""description"":""Add a logger field to the class if it isn't already present.""},{""name"":""loggerName"",""type"":""String"",""displayName"":""Logger name"",""description"":""The name of the logger to use when generating a field."",""example"":""log""},{""name"":""loggingFramework"",""type"":""String"",""displayName"":""Logging framework"",""description"":""The logging framework to use."",""valid"":[""SLF4J"",""Log4J1"",""Log4J2"",""JUL"",""COMMONS""]}]"
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.SystemOutToLogging,Use logger instead of `System.out` print statements,Replace `System.out` print statements with a logger.,1,,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,"[{""name"":""addLogger"",""type"":""Boolean"",""displayName"":""Add logger"",""description"":""Add a logger field to the class if it isn't already present.""},{""name"":""loggerName"",""type"":""String"",""displayName"":""Logger name"",""description"":""The name of the logger to use when generating a field."",""example"":""log""},{""name"":""loggingFramework"",""type"":""String"",""displayName"":""Logging framework"",""description"":""The logging framework to use."",""valid"":[""SLF4J"",""Log4J1"",""Log4J2"",""JUL"",""COMMONS""]},{""name"":""level"",""type"":""String"",""displayName"":""Level"",""description"":""The logging level to turn `System.out` print statements into."",""valid"":[""trace"",""debug"",""info""]}]"
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.SystemPrintToLogging,Use logger instead of system print statements,Replace `System.out` and `System.err` print statements with a logger.,7,,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,"[{""name"":""addLogger"",""type"":""Boolean"",""displayName"":""Add logger"",""description"":""Add a logger field to the class if it isn't already present.""},{""name"":""loggerName"",""type"":""String"",""displayName"":""Logger name"",""description"":""The name of the logger to use when generating a field."",""example"":""log""},{""name"":""loggingFramework"",""type"":""String"",""displayName"":""Logging framework"",""description"":""The logging framework to use."",""valid"":[""SLF4J"",""Log4J1"",""Log4J2"",""JUL"",""COMMONS""]},{""name"":""level"",""type"":""String"",""displayName"":""Level"",""description"":""The logging level to turn `System.out` print statements into."",""valid"":[""trace"",""debug"",""info""]}]"
maven,org.openrewrite.recipe:rewrite-logging-frameworks,org.openrewrite.java.logging.jboss.FormattedArgumentsToVMethodRecipes,Replace deprecated JBoss Logging Logger formatted message invocations with the v-version of methods,"Replace `logger.level(""hello {0}"", arg)` with `logger.levelv(""hello {0}"", arg)`.",25,Jboss,Logging,Java,,Enforce logging best practices and migrate between logging frameworks.,Basic building blocks for transforming Java code.,
